Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
Caleb Martin,2018,NA,76.75,78,82,101.5,36.5,29,195.8,7,8.5,8.75,6,10.43,3.26
Jevon Carter,2018,32,72.25,73.5,76.25,95,36.5,29,196.2,4.15,9.25,8.5,14,11.04,3.18
Ty Lawson,2009,18,71.25,72.5,72.75,94.5,36.5,29,196.6,6.6,NA,NA,14,10.98,3.12
Cody Martin,2018,NA,76.75,78,82.25,102.5,36.5,29,188.6,5.45,8.5,9,4,10.64,3.09
Sonny Weems,2008,39,76,77.5,82,104,36.5,29,193,4.4,NA,NA,12,10.58,2.96
Xavier Henry,2010,12,77.25,78.5,83.25,105,36.5,28.5,210.2,4.7,8.75,10,8,11.1,3.18
Scotty Hopson,2011,NA,77.75,78.5,82.5,103.5,36,32.5,204.6,4.8,8.5,10,10,10.47,3.18
Brandon Heath,2007,NA,74,75.75,79,94,36,32,181,9,NA,NA,11,11.39,3.28
Quan Prowell,2008,NA,78.75,79.75,82.5,103.5,36,32,225.5,6.5,NA,NA,16,11.79,3.14
Wesley Iwundu,2017,NA,77.5,78.75,85,105.5,36,31.5,193.4,4,8.75,9.5,5,11.25,3.36
Keith Benson,2011,48,82,83,87.75,109.5,36,31.5,217,6.1,9.5,11,12,11.88,3.35
Pops Mensah-Bonsu,2006,NA,79.5,81,84,105.5,36,31.5,232,5.8,NA,NA,19,11.47,3.29
Gilbert Arenas,2001,30,74.25,NA,81.5,99.5,36,31.5,199,5.3,NA,NA,12,NA,3.25
Lazar Hayward,2010,30,76.5,77.75,84.75,102,36,31,225.8,7.5,9.25,9.5,15,10.87,3.31
Joe Crawford,2008,58,75,76,77.75,99.5,36,31,213,7.6,NA,NA,13,11.67,3.22
Ed Davis,2010,13,81,81.75,84,108,36,31,226.6,10,9.25,10,NA,11.7,3.21
Trevor Booker,2010,23,78.25,79.5,81.75,106,36,31,235.8,7.3,9,9.5,22,11.15,3.1
Lester Hudson,2008,NA,71.75,73,80.75,98.5,36,30.5,196,3.4,NA,NA,12,11.15,3.16
Tyler Dorsey,2017,41,75,76.5,77.25,99.5,36,30.5,182.6,4.7,8.5,9.25,8,10.55,3.16
Marquis Estill,2003,NA,80.5,,88,108,36,30,257,11.7,NA,NA,7,12.92,3.31
Bracey Wright,2005,47,73.25,74.5,82,100.5,36,30,186.8,NA,NA,NA,8,11.58,3.27
Rickey Paulding,2004,54,74.75,76,81.5,101.5,36,30,210,5.3,NA,NA,17,11.14,3.17
Joey Graham,2005,16,77.25,78.5,80,104,36,30,216.6,NA,NA,NA,26,10.62,3.05
Gregory Smith,2011,NA,80,81.25,86.5,106.5,36,29.5,252.8,7.4,9.75,12,17,12.43,3.36
Chimezie Metu,2018,49,80.5,81.5,84.5,108,36,29.5,219.6,5.05,9,9.25,5,11.89,3.33
Marcin Gortat,2005,57,83,84,87.5,110,36,29.5,225.2,NA,NA,NA,18,11.48,3.33
Wayne Wallace,2003,NA,79.25,,86,108,36,29.5,187,4.6,NA,NA,6,11.85,3.24
Stephane Lasme,2007,46,77,79,86,107,36,29.5,213,4.9,NA,NA,17,11.73,3.22
Kris Humphries,2004,14,80.25,81.5,84.5,106.5,36,29.5,238,6.7,NA,NA,22,11.33,3.2
Josh Childress,2004,6,77.75,79.25,83,105,36,29,196,9.3,NA,NA,11,11.95,3.38
Jimmie Hunter,2000,NA,75,,80,100,36,29,170,NA,NA,NA,0,11.23,3.35
Alec Burks,2011,12,77,78,82,103.5,36,29,192.6,5.1,9,8.25,5,10.96,3.17
Caleb Green,2007,NA,78,80,83.75,103,36,28.5,238,10.9,NA,NA,9,11.72,3.46
Davon Reed,2017,32,76.5,77.5,84,102,36,28.5,206.2,6.5,9.25,9.5,12,11.37,3.34
Jay Williams,2002,2,72.25,NA,75.5,97,36,28.5,197,NA,NA,NA,10,10.34,3.09
Luke Jackson,2004,10,78,79,80.5,103,36,26.5,212,8,NA,NA,13,11.1,3.24
Kadeem Allen,2017,53,73,74.25,81.25,99.5,35.5,33,192.4,6.4,8.5,8.75,7,11.24,3.15
Andy Ellis,2002,NA,81.25,,82.25,102,35.5,32,220,NA,NA,NA,6,11.69,3.34
Blake Griffin,2009,1,80.5,82,83.25,105,35.5,32,248.4,8.2,NA,NA,22,10.95,3.28
Amar'e Stoudemire,2002,9,80.5,NA,85.75,108.5,35.5,32,233,NA,NA,NA,12,11.19,3.25
Andre Brown,2004,NA,80,81.5,83,107,35.5,32,236,6,NA,NA,18,11.7,3.22
Lou Amundson,2006,NA,79.2,80,83.5,103.5,35.5,32,221,6.8,NA,NA,14,10.58,3.2
Kirk Penney,2003,NA,77,,77.25,97,35.5,32,218,8,NA,NA,15,10.44,3.04
Deng Gai,2005,NA,79.75,81.25,88.5,110.5,35.5,31.5,214,NA,NA,NA,11,12.51,3.27
Derrick Favors,2010,3,80.75,82.25,88,110,35.5,31.5,245.2,6.5,8.75,9.25,14,11.74,3.25
Jarrett Allen,2017,22,81,82.25,89.25,109.5,35.5,31.5,233.6,7.4,9.5,10.5,4,11.82,3.21
Romain Sato,2004,52,74,75.25,83,102.5,35.5,31.5,204,6,NA,NA,8,11.27,3.18
Al Horford,2007,3,80,81.75,84.75,107,35.5,31,246,9.1,NA,NA,20,12.15,3.37
Omar Cook,2001,31,71.5,NA,77.5,92,35.5,31,189,5.5,NA,NA,9,10.77,3.2
Morris Almond,2006,NA,76.75,78,82,102.5,35.5,31,214,6.9,NA,NA,13,11.45,3.19
Jaron Blossomgame,2017,59,77.75,78.75,82,104.5,35.5,31,218.6,5.7,8.75,10.25,16,11.47,3.17
Brandan Wright,2007,8,80.75,82,87.75,108.5,35.5,30.5,200,5.8,NA,NA,2,11.76,3.31
Trent Plaisted,2008,46,81.25,82.25,82.5,105.5,35.5,30.5,240,11,NA,NA,14,11.32,3.17
Norman Richardson,2001,NA,75.5,,76.5,99,35.5,30.5,180,6,NA,NA,2,10.97,3.15
Dwight Howard,2004,1,81,82.25,88.5,111.5,35.5,30.5,240,10.5,NA,NA,7,11.21,3.14
Derrick Brown,2009,40,79.5,80.5,86.5,107.5,35.5,30.5,224.6,8.6,NA,NA,20,11.26,3.13
Greg Stevenson,2001,NA,75.75,,84.5,102,35.5,30,215,7.3,NA,NA,15,11.29,3.23
James Anderson,2010,20,76.75,77.75,80.5,104,35.5,30,207.6,7.9,8.5,7.25,14,11.86,3.19
J.R. Bremer,2002,NA,73.25,,74.25,96,35.5,30,188,NA,NA,NA,24,10.93,3.1
Malcolm Lee,2011,43,76,77.5,81.75,101.5,35.5,30,198.2,5.9,8.5,9.5,17,11.2,3.09
Justin Jackson (UNC),2017,NA,79,80.25,83,104.5,35.5,29.5,200.8,8.1,8.75,9.25,NA,10.8,3.3
Stephen Curry,2009,7,74,75.25,75.5,97,35.5,29.5,181,5.7,NA,NA,10,11.07,3.28
